Country,Year,Primary Enrollment,GDP per Capita
United Kingdom,2001,4596110.0,27806.4488245133
United Kingdom,2002,4536143.0,30049.8963232066
United Kingdom,2003,4488162.0,34487.4675722539
United Kingdom,2004,4685733.0,40371.7108259838
United Kingdom,2005,4634991.0,42132.0907219815
United Kingdom,2006,4517618.0,44654.0969208924
United Kingdom,2007,4409184.0,50653.2569148306
United Kingdom,2008,4465021.0,47549.3486286006
United Kingdom,2009,4416474.0,38952.2110262455
United Kingdom,2010,4421903.0,39688.6149684498
United Kingdom,2011,4419840.0,42284.8844902996
United Kingdom,2012,4523583.0,42686.8000524926
United Kingdom,2013,4622158.0,43713.8141242308
United Kingdom,2014,4509479.0,47787.2412984884
United Kingdom,2015,4621192.0,45404.5677734722
United Kingdom,2016,4721647.0,41499.5557033073
United Kingdom,2017,4820283.0,40857.7555829627
United Kingdom,2018,4892502.0,43646.9519711493
United Kingdom,2019,4919259.0,43070.4983595888
